Word,Clue,Difficulty
LMN,Trio between K and O,EASY
EER,Suffix with puppet,FAIR
UPS,FedEx competitor,EASY
IRS,Form 1040 org.,EASY
IDA,Its capital is Boise: Abbr.,EASY
AZT,AIDS treatment drug,EASY
EEL,Reef wriggler,EASY
ABC,Diane Sawyer's network,EASY
SEA,"Aegean, e.g.",FAIR
INK,Tattoo fluid,EASY
USS,Navy vessel initials,EASY
CAT,Lynx or puma,EASY
REP,Member of the House: Abbr.,EASY
QED,Math proof ending,EASY
NOW,This very minute,EASY
DRY,Desertlike,EASY
GNU,Bearded beast of Africa,EASY
ROI,"Louis XIV, par exemple",EASY
FAD,It's all the rage,EASY
TEA,"Pekoe, e.g.",EASY
GIG,Band's engagement,EASY
GON,"Suffix with penta-, hexa-, hepta-, etc.",EASY
YOW,Ouch!,EASY
KUE,Letter before ar,FAIR
SEN,Member of the upper house: Abbr.,EASY
ANT,Carpenter or harvester insect,EASY
WES,Scream director Craven,FAIR
ABE,"Lincoln, the Rail-Splitter",EASY
URL,WWW address,FAIR
DIA,"Day, to Diego",EASY
REN,Stimpy's canine pal,EASY
TOE,Follower of tic-tac,EASY
LSD,'60s acid,EASY
BIS,Ones not entirely gay or straight,EASY
GEE,Word said while scratching one's head,EASY
MOL,Collection of atoms: Abbr.,FAIR
HIP,Cry said twice before hooray!,EASY
NET,Badminton feature,EASY
LET,Tennis umpire's cry,EASY
ADS,Episode interruptions,EASY
ELF,North Pole toymaker,EASY
NUN,Convent inhabitant,EASY
RUM,Bacardi product,EASY
FOG,Frequent weather condition at the Golden Gate Bridge,EASY
MPH,Speedometer meas.,EASY
AFT,Toward the back of a boat,EASY
ART,A work of ___ is a confession: Camus,EASY
URN,Ash holder,FAIR
IDS,"Driver's licenses and such, in brief",EASY
SIR,"Francis Drake, Isaac Newton or Mix-a-Lot",EASY
BAM,Blast sound,EASY
WOW,Holy moly!,FAIR
FLO,___-Jo ('88 Olympics track star),EASY
FEM,Not masc.,EASY
FLA,State south of Ga.,EASY
ERS,Hesitant sounds,HARD
IRK,Needle,FAIR
FUR,PETA target,EASY
TED,Turner who founded CNN,EASY
ICE,"Water, when it gets cold enough",EASY
AMA,Docs' grp.,EASY
IRR,Abbr. on a garment sale tag,EASY
LEE,Confederate general at Gettysburg,EASY
AOK,Fine and dandy,EASY
EDS,Workers with mss.,EASY
DDE,Ike's inits.,EASY
RIB,Chest bone,EASY
DVR,"TiVo, for one, in brief",FAIR
DAB,"Apply with a cotton ball, say",EASY
EDU,School's URL ending,EASY
DIT,Dah's counterpart in Morse code,EASY
KOS,"Some boxing wins, for short",FAIR
OLD,Obsolete,EASY
WOK,Chinese cooker,FAIR
OED,British ref. for wordsmiths,EASY
III,Rightmost number on a grandfather clock,EASY
TNT,Charge for a bang-up job?,EASY
SNL,NBC comedy show since '75,EASY
NOV,Oct. follower,EASY
CHE,___ Guevara,FAIR
ODE,Keats or Shelley work,EASY
OSS,W.W. II intelligence org.,MODERATE
ORG,Web site alternative to com or edu,EASY
ALA,State between Miss. and Ga.,EASY
NSA,Org. protecting U.S. secrets,EASY
CUT,Abridge,EASY
NIT,Pedantic quibble,EASY
GMT,World clock std.,EASY
ELO,Can't Get It Out of My Head rock grp.,EASY
TEE,Links peg,FAIR
OLE,Cry for a matador,EASY
FED,Provided with meals,EASY
MRS,Feminine title,EASY
ELL,90?? angle,EASY
ACE,One-spot card,EASY
DAY,24 hours,FAIR
YAO,N.B.A.'s 7'6 ___ Ming,EASY
LAY,Set down,FAIR
AMY,Late singer Winehouse,EASY
